From Changshu Station to Hotel by Taxi with Edward GM & Gavin SSM->zh,Edward总经理和Gavin高级销售经理一起从常熟站乘出租车到酒店
From Changshu Station to Shanghai Station by High Speed Train->zh,从常熟站到上海站乘坐高铁
From Changshu station to hotel by taxi with Nick wang and Jim->zh,和王Nick、Jim一起从常熟站乘出租车到酒店
From Changshu station to hotel by taxi with Richie->zh,和Richie一起从常熟站打车到酒店
From Changshu to SHHQ by Train->zh,从常熟到SHHQ乘火车
From Changshu to Shanghai Hongqiao by Train->zh,常熟到上海虹桥火车
From Changshu to Shanghai Hongqiao by train->zh,常熟至上海虹桥火车
From Changshu to Shanghai Hongqiao by train (training)->zh,常熟到上海虹桥乘火车
From Changshu to Shanghai Station  by Train->zh,从常熟到上海火车站乘火车
From Changshu to Shanghai by High speed train->zh,常熟到上海乘高铁
From Changshu to Shanghai by Train->zh,常熟到上海的火车
From Changshu to Shanghai by train->zh,从常熟乘火车到上海
From Changshu train station to Hotel by Taxi with Mark->zh,与Mark一起从常熟火车站乘出租车到酒店
From Changshu train station to Shanghai by train->zh,从常熟火车站乘火车到上海
From Changshu train station to hotel by taxi with Lorraine and Frieda->zh,和Lorraine、Frieda一起乘出租车从常熟火车站到酒店
From Changshu train station to hotel with Laura by Taxi->zh,和劳拉一起从常熟火车站乘坐出租车到酒店
From Changzhou to Shanghai (Toll fee)->zh,常州到上海(过路费)
From HQ airport to home by Taxi->zh,从总部机场乘出租车回家
From HQ train station to home by Taxi->zh,从总部火车站乘出租车回家
From Home to Airport by Taxi->zh,打车从家到机场
From Home to Hongqiao Airport by Taxi->zh,从家到虹桥机场打车
From Home to Hongqiao Subway station by bus->zh,从家坐公交车到虹桥地铁站
From Home to Hongqiao by taxi->zh,从家到虹桥打车
From Home to Ningbo Jinding (Toll fee)->zh,家到宁波金顶(过路费)
From Home to Office by Taxi (to the nearest subway station)->zh,从家到办公室乘出租车（到最近的地铁站）
From Home to Pudong airport by taxi->zh,乘出租车从家到浦东机场
From Home to Suzhou Howell (Toll fee)->zh,从家到苏州豪威尔(过路费)
From Home to meet Mark's Car by Taxi->zh,从家里乘坐出租车去接马克的车
From Home to station by taxi->zh,打车从家到车站
From Hongqiao Airport to Home by Taxi->zh,从虹桥机场打车回家
From Hongqiao Station to Home by Taxi->zh,从虹桥火车站坐出租车回家
From Hongqiao Station to home by Taxi->zh,从虹桥站打车回家
From Hongqiao airport to home by taxi->zh,从虹桥机场乘出租车回家
From Hongqiao station to Sanlinnan by metro->zh,从虹桥站到三林南乘坐地铁
From Hongqiao station to home by taxi->zh,从虹桥站坐出租车回家
From Hongqiao to Home by taxi->zh,虹桥乘出租车回家
From Hongqiao to home by taxi->zh,从虹桥打车回家
From Hotel  to Changshu train station by Taxi with Sam->zh,和Sam一起从酒店乘出租车到常熟火车站
From Hotel to Changshu Railway Station by Taxi with Christy & Stacey->zh,与Christy和Stacey一起乘出租车从酒店到常熟火车站
From Hotel to Changshu Station by Taxi with Serena->zh,和Serena一起乘出租车从酒店到常熟站
From Hotel to Changshu train station by taxi with Gavin->zh,和Gavin一起从酒店乘坐出租车到常熟火车站
From Hotel to Changshu train station by taxi with William->zh,和威廉一起乘坐出租车从酒店到常熟火车站
"From Hotel to Train station by Taxi together with Jim, Frank->zh",和Jim、Frank一起乘坐出租车从酒店到火车站
From Hyatt to Changshu Railway Station by taxi with Chloe and Selena->zh,和Chloe、Selena一起乘坐出租车从凯悦酒店到常熟火车站
From International  sourcing center to home by Taxi->zh,从国际采购中心乘出租车回家
From International Procurement Expo Center to home by taxi (ALL IN HR Expo)->zh,从国际采购博览中心乘坐出租车回家
From International sourcing center to home by Taxi->zh,从国际采购中心打车回家
From JW Marriott to home for attending AmCham HR conference by Taxi->zh,乘出租车从JW万豪酒店回家参加美商会人力资源会议
From Kangqiao station to home by taxi (training)->zh,从康桥站乘出租车回家(训练)
From Lingshi Road to Taopu  by Taxi->zh,从灵石路到桃浦乘坐出租车
From Mark's Car to Home by Taxi->zh,从马克的车坐出租车回家
From Ningbo to Shanghai (Toll fee)->zh,宁波到上海(过路费)
From Ningbo to Taizhou (Toll fee)->zh,宁波到台州(过路费)
From Pudong airport to home by taxi->zh,从浦东机场打车回家
From SH Railway Station to home by taxi (In-house training in Changshu)->zh,从上海火车站乘出租车回家（常熟内部培训）
From Sanlin to home by Taxi->zh,从三林打车回家
From Sanlinnan station home by taxi->zh,从三林南站乘坐出租车回家
From Sanlinnan station home by taxi(Thailand trip for Midea Refrigeration Equipment FV)->zh,从三林南站乘出租车回家（美的制冷设备FV泰国之旅）
From Shanghai Hongqiao to home by taxi->zh,从上海虹桥乘出租车回家
From Shanghai Railway Station Home by Taxi->zh,从上海火车站打车回家
From Shanghai Station to home by Taxi with Lottie->zh,和Lottie一起从上海站坐出租车回家
From Shanghai railway station to home by Taxi->zh,从上海火车站坐出租车回家
From Shanghai to Changshu by Train->zh,从上海到常熟乘火车
From Shanghai to Changzhou (Toll fee)->zh,上海至常州(过路费)
From Shanghai to Ningbo (Toll fee)->zh,上海到宁波(过路费)
From Shanghai to Taicang (Parking fee)->zh,从上海到太仓（停车费）
From Shanghai to Taicang (Toll fee)->zh,上海至太仓(过路费)
From Sowa factory to Guangzhou baiyun airport by taxi->zh,从Sowa工厂打车到广州白云机场
From Sowa factory to hotel by taxi->zh,从Sowa工厂坐出租车到酒店
From Taicang to Shanghai (Toll fee)->zh,太仓至上海(过路费)
From Taizhou to Ningbo (Toll fee)->zh,台州至宁波(过路费)
From Taopu to Lingshi Road by Taxi->zh,从桃浦到灵石路打车
From Train station to Hotel by Taxi together with Devin->zh,和Devin一起乘出租车从火车站到酒店
From airport to Sanlinnan by Metro(Thailand trip for Midea Refrigeration Equipment FV)->zh,从机场到三林南乘坐地铁（美的制冷设备FV泰国之旅）
From airport to home by taxi->zh,打车从机场回家
From factory to Qingdao Airport by Taxi->zh,工厂至青岛机场打车
From home to HQ airport by Taxi->zh,从家到总部机场乘坐出租车
From home to Hangzhou Promax for PSI go and back (Toll fee)->zh,家至杭州Promax的PSI往返（过路费）
From home to Hongqiao airport by taxi->zh,从家坐出租车到虹桥机场
From home to International Procurement Expo center by taxi (ALL IN HR Expo)->zh,从家打车到国际采购博览会中心（ALL IN HR Expo）
From home to International Procurement Expo center by taxi(ALL IN HR Expo)->zh,从家乘坐出租车到国际采购博览会中心(ALL IN人力资源博览会)
From home to International sourcing center for attending HREC HR Services Expo by Taxi->zh,乘坐出租车从家前往国际采购中心参加HREC人力资源服务博览会
From home to International sourcing enter->zh,从家庭到国际采购企业
From home to JW Marriott Tomorrow Square by taxi (AmCham HR Conference)->zh,从家乘坐出租车到JW Marriott明天广场酒店(美国商会人力资源会议)
From home to Jiaxing Go shen with Jacky for PSI go and back (Toll fee)->zh,和Jacky往返嘉兴Go shen（含过路费）
From home to Ningbo Shining and back (Toll fee)->zh,从家到宁波Shining往返(过路费)
From home to Taicang Fullway+ Jiaxing Weiyue for PSI go and back (Toll fee)->zh,家往返太仓Fullway+嘉兴卫跃PSI过路费
From home to Wanxiangcheng by taxi->zh,从家打车到万象城
From home to Yangzhou Shaofeng and back (Toll fee)->zh,家到扬州邵峰往返(过路费)
From home to airport by taxi->zh,打车从家去机场
From home to airport by taxi(Thailand trip for Midea Refrigeration Equipment FV)->zh,从家到机场乘出租车(美的制冷设备FV泰国之旅)
From home to meeting point by Taxi->zh,打车从家到集合点
From home to metro by taxi->zh,从家打车到地铁站
From home to nearby metro station by Taxi->zh,从家乘出租车到附近地铁站
From home to the closest subway station by taxi->zh,从家坐出租车到最近的地铁站
From hotel to Changshu Railway station by taxi with Claire->zh,和Claire一起从酒店乘坐出租车到常熟火车站
From hotel to Changshu Station by taxi->zh,从酒店乘坐出租车到常熟站
From hotel to Changshu Station by taxi with Frieda->zh,和Frieda一起乘出租车从酒店到常熟站
From hotel to Changshu station by taxi with Nick Li->zh,和李尼克一起乘出租车从酒店到常熟站
From meeting point to home by Taxi->zh,从集合点打车回家
From shanghai to Changshu by train->zh,从上海到常熟乘火车
Fruit for the 5th anniversary of FuelPro System->zh,FuelPro系统五周年水果
Gift card for Mid-autumn festival(associates allowance)->zh,中秋节员工礼品卡
Handover and initial setup of local PRC accounting system->zh,本地中国会计系统的交接与初始设置
Hypochlorous acid disinfectant for office using->zh,办公室用次氯酸消毒剂
Import clearance fee for Aug.2025->zh,2025年8月进口清关费
Interest->zh,兴趣
International courier fee for Aug. 2025->zh,2025年8月国际快递费
Internet fee (39644) for Aug.2025->zh,2025年8月网络费用(39644)
Keyboard & mouse for Stacey Xu->zh,Stacey Xu的键鼠
Local and domestic courier fee for Aug.2025->zh,2025年8月本地及国内快递费
Lodging for domestic travel for Aug.2025->zh,2025年8月国内住宿
Lodging for international travel for Aug.2025(Thailand)->zh,2025年8月国际旅行泰国住宿
Lunch->zh,午餐
Lunch at Ningbo with Mark->zh,马克在宁波共进午餐
Lunch with Charlie (QA) and Jim(QC)->zh,与Charlie(QA)和Jim(QC)共进午餐
Lunch with Claire->zh,与克莱尔共进午餐
Lunch with Claire(BMOO)/Sam(DM)/Lottie(OA) for Lottie's work anniversary->zh,与Claire(BMOO)/Sam(DM)/Lottie(OA)共进午餐，庆祝Lottie的工作周年
Lunch with Frank (QC)->zh,与弗兰克(QC)共进午餐
Lunch with Lorraine(ASM)(Thailand trip for Midea Refrigeration Equipment FV)->zh,与洛林共进午餐（ASM）（美的制冷设备FV泰国之旅）
Lunch with Richie for Richie's 14th work anniversary->zh,与Richie共庆工作14周年午餐
"Lunch with William (LSM), Carol (ASM), Devin (ASM) for Carol and Devin's work anniversary->zh",与William(LSM)、Carol(ASM)和Devin(ASM)共进午餐，庆祝Carol和Devin工作周年
"Lunch with supplier YTY (supplier 2 person, Edward-GM, total 4 person)->zh",与YTY供应商共进午餐(供应商2人，Edward-总经理，共4人)
Lunch(Thailand trip for Midea Refrigeration Equipment FV)->zh,美的制冷设备FV事业部泰国之旅午餐
Maintenance fee for Aug. 2025->zh,2025年8月维护费
Mask for office using->zh,办公用口罩
Meal Coupon for Changshu in-house Training(case sharing)->zh,常熟内部培训餐券（案例分享）
Meal Coupon for in-house training(case sharing)->zh,内部培训餐券（案例分享）
Meal coupon for in-house training(Case sharing)->zh,内部培训餐券(案例分享)
Meal coupon(Frieda & William) for in-house training (case sharing)->zh,内部培训餐券(Frieda & William) - 案例分享
Mileage allowance fee from Home to Ningbo Jinding (Gasoline Invoice)->zh,家至宁波金顶里程补贴（汽油发票）
Mileage allowance fee from Home to Suzhou Howell (Gasoline Invoice)->zh,家到苏州豪威尔里程补贴费（汽油发票）
Mileage allowance fee from Ningbo Shining and back (Gasoline/Parking Invoice)->zh,宁波辉煌往返里程补贴费(汽油/停车发票)
Mileage allowance fee from Shanghai to Changzhou and back to Shanghai (Gasoline/Parking Invoice)->zh,上海至常州往返里程补贴费用（汽油/停车发票）
Mileage allowance fee from Shanghai to Ningbo & Taizhou and back (Gasoline/Parking Invoice)->zh,上海至宁波及台州往返里程补贴费（汽油/停车发票）
Mileage allowance fee from Shanghai to Taicang and back (Gasoline/Parking Invoice)->zh,上海到太仓往返里程补贴费用（汽油/停车发票）
Mileage allowance fee from home to Hangzhou Promax for PSI go and back (Gasoline/Parking Invoice)->zh,家至杭州Promax公司PSI往返里程补贴(汽油/停车发票)
Mileage allowance fee from home to Jiaxing Go shen with Jacky for PSI go and back (Gasoline/Parking Invoice)->zh,从家到嘉兴与Jacky往返PSI的里程津贴费（汽油/停车发票）
Mileage allowance fee from home to Taicang Fullway+ Jiaxing Weiyue for PSI go and back (Gasoline/Parking Invoice)->zh,从家里到太仓Fullway+嘉兴伟悦的PSI往返里程补贴费(汽油/停车费发票)
Mileage allowance fee from home to Yangzhou Shaofeng and back (Gasoline/Parking Invoice)->zh,从家到扬州邵峰往返里程津贴费（汽油/停车发票）
Milk for making coffee->zh,咖啡奶
Mobile fee for Aug. to Sep.->zh,8-9月手机费
Mobile fee for Sep.->zh,9月手机费
Mobile fee for Sept.->zh,九月手机费
Monthly bookkeeping and VAT services for Aug.2025->zh,2025年8月月度记账及增值税服务
Office cleaning fee for Sept 2025->zh,2025年9月办公室清洁费
Office rental for Rm1503b-Rm1507 for Sept.2025->zh,2025年9月Rm1503b-Rm1507办公室租赁
Office stationary->zh,办公用品
One-off service fee for warehousing financial documents->zh,金融文件仓储一次性服务费
Overtime meal (Work until 20:15/Dinner myself)->zh,加班餐（工作至20:15/自行解决晚餐）
PC for Stacey Xu->zh,Stacey Xu的个人电脑
PRI Link (4000.00) and DID number. (2600.00) for Aug. telephone calling (758.89) for Aug. (actual occurred in Jul.)->zh,八月PRI线路(4000.00)及DID号码(2600.00)费用，八月电话呼叫(758.89)费用(实际七月发生)
Personality assessment(OPQ Profile & UCR) for Stacey Xu->zh,Stacey Xu的人格测评(OPQ Profile & UCR)
Plant maintenance fee for Sept. 2025->zh,2025年9月工厂维护费
Property management fee for Rm1503b-Rm1507 for Sept.2025->zh,2025年9月Rm1503b至Rm1507的物业管理费
Recruitiment fee for ASM replacement - Stacey Xu->zh,ASM替代招聘费 - Stacey Xu
Rooftop lamp for conference room using->zh,会议室顶灯
Salary payment for Sept.2025->zh,2025年9月工资
Snacks for team sports->zh,团队运动零食
Taxi fee for AmCham event->zh,美国商会活动出租车费
Tea bags->zh,茶包
"Team lunch and Welcome lunch with Stacey (SA), William(LSM), April(SM), Selena(ASM), Devin (ASM), Frieda (SA)->zh",与Stacey（SA）、William（LSM）、April（SM）、Selena（ASM）、Devin（ASM）、Frieda（SA）一起的团队午餐和欢迎午餐
Testing fee for tensile->zh,拉伸测试费用
Train tickets for domestic travel for Aug.2025->zh,2025年8月国内旅行火车票
Two days in-house training for Cross functional communication course for APO all associates for FY'25->zh,APO全体员工2025财年跨职能沟通课程两天内部培训
USD271290 converted to RMB (exchange rate:7.1098)->zh,271290美元按汇率7.1098兑换成人民币
Utility fees/24hrs air conditioning fee for Rm1503b-Rm1507 for Sept.2025->zh,1503b-1507房间2025年9月水电及24小时空调费
VAT->zh,增值税
VAT and local levy for Aug. 2025->zh,2025年8月增值税及地方税
Water absorbent mat for water dispenser using->zh,饮水机吸水垫
Water for coffee machine using->zh,咖啡机用水
Water for conference room using->zh,会议室用水
Water tickets->zh,水票
Dinner with Edward GM / Jacky LQM / Mark QM / Paul QA / Richie QM / Nick Wang ASM / Nick Li QA / Charlie QM / Jim QC->zh,与爱德华共进晚餐：爱德华(GM)/杰奇(LQM)/马克(QM)/保罗(QA)/里奇(QM)/尼克·王(ASM)/尼克·李(QA)/查理(QM)/吉姆(QC)
